A,B,R,v,name,simulated
0.25104818095260917,0.46036744963475845,0.561265079502,0.1,Sugar,False
0.24369621789674684,0.4327193835866241,0.593318000118,0.1,Sugar,False
0.23000119837610955,0.4156065723180389,0.597423742709,0.1,Sugar,False
0.21781642339902904,0.41270149306537113,0.580689703189,0.1,Sugar,False
0.20834158071470074,0.3935891022673516,0.594454846047,0.1,Sugar,False
0.19402494964353625,0.3826453246704033,0.585842910957,0.1,Sugar,False
0.1822622191032655,0.3645757663580943,0.592736668629,0.1,Sugar,False
0.17045376339928267,0.32540394615441537,0.634541084173,0.1,Sugar,False
0.15560217235841478,0.28309605692279916,0.6783128703,0.1,Sugar,False
0.14318549383832005,0.2686952691728237,0.676151307312,0.1,Sugar,False
0.13275836704945387,0.23902096680996837,0.708788912918,0.1,Sugar,False
0.12636568583815128,0.20723678667056608,0.760858566396,0.1,Sugar,False
0.12105652791832813,0.1870928923610833,0.793820452188,0.1,Sugar,False
0.11718242019903984,0.16518171201138906,0.83987381694,0.1,Sugar,False
0.11476900504055487,0.1541194046021838,0.863820401832,0.1,Sugar,False
0.11316318110119142,0.13954701862098276,0.903819179827,0.1,Sugar,False
0.1103476028369561,0.1444656817591974,0.877771360184,0.1,Sugar,False
0.10833044723742959,0.14224721540413873,0.87744801544,0.1,Sugar,False
0.10777930130478007,0.12406147102878533,0.936843621742,0.1,Sugar,False
0.10607597708763376,0.14527800073534947,0.859826352162,0.1,Sugar,False
0.10588704187288471,0.12504683620731036,0.925930000212,0.1,Sugar,False
0.10605884095129385,0.13023276431517938,0.90848879217,0.1,Sugar,False
0.10638538663412433,0.13183713835497027,0.904270818997,0.1,Sugar,False
0.10756520407800364,0.13450892290340993,0.899745468459,0.1,Sugar,False
0.10918009169645872,0.1275514887600661,0.929779469088,0.1,Sugar,False
0.11046390076096521,0.12680351609933452,0.937382737476,0.1,Sugar,False
0.11208804317000755,0.13462344008211977,0.916289995096,0.1,Sugar,False
0.11321772167787379,0.13660657843947782,0.913795111594,0.1,Sugar,False
0.11564633079869839,0.1509361215297194,0.87654471016,0.1,Sugar,False
0.11803443205690883,0.14557261388074727,0.901862262118,0.1,Sugar,False
0.12018178459535939,0.1944550569422829,0.772887012878,0.1,Sugar,False
0.12628930037104522,0.19608368650438698,0.787371694666,0.1,Sugar,False
0.1339267775412221,0.20061861204865333,0.79899524299,0.1,Sugar,False
0.1426502893523586,0.22628115558637163,0.763072894975,0.1,Sugar,False
0.15565294248337208,0.27020254762393836,0.703491639126,0.1,Sugar,False
0.16697413990444437,0.32138248000135006,0.634176760115,0.1,Sugar,False
0.18071592723156185,0.33775769456138127,0.634444796337,0.1,Sugar,False
0.19523181998066533,0.37561428283659615,0.599419639565,0.1,Sugar,False
0.20800722522565832,0.3930695095033491,0.594688092409,0.1,Sugar,False
0.2217197278823037,0.38809423492679207,0.628348415885,0.1,Sugar,False
0.23353649004493443,0.42267001988665076,0.592102220232,0.1,Sugar,False
0.36277348265736575,0.6340524330869708,0.449343309869,0.1,Sugar,False
0.44771650815282293,0.7261941832076436,0.398133156065,0.1,Sugar,False
0.5047995945628032,0.7713678059158012,0.379743028301,0.1,Sugar,False
0.5316797716531507,0.7753686362733615,0.402740388422,0.1,Sugar,False
0.5380744795302295,0.7943501893495633,0.371484938455,0.1,Sugar,False
0.5348697157427278,0.7621438178906186,0.434083549146,0.1,Sugar,False
0.5107967386783612,0.7362447187350328,0.455790740913,0.1,Sugar,False
0.4565073962609099,0.709500512090555,0.437663579203,0.1,Sugar,False
0.3784721769004119,0.643186030812866,0.454215215175,0.1,Sugar,False
0.25953414672438174,0.5399073190405389,0.45694481834,0.1,Salt,False
0.24478895843987428,0.5245897548851334,0.458403873726,0.1,Salt,False
0.22294174227146304,0.46255494537168385,0.513703971872,0.1,Salt,False
0.21827199456296956,0.5096039958777463,0.442914216354,0.1,Salt,False
0.20726428964124327,0.42658482332708936,0.541342871806,0.1,Salt,False
0.19142313023228397,0.4050002617037329,0.546715378895,0.1,Salt,False
0.17296093621826317,0.34868195677356373,0.600445300202,0.1,Salt,False
0.161187492890731,0.3250851013590289,0.615645551009,0.1,Salt,False
0.14760310851594896,0.25662304862130386,0.710917250684,0.1,Salt,False
0.14215333652097636,0.3009690349174755,0.615500180912,0.1,Salt,False
0.13459401347535854,0.24563008682909365,0.700041859755,0.1,Salt,False
0.13230886363494385,0.22136495717898877,0.745540621797,0.1,Salt,False
0.12982384991392776,0.2023767684313989,0.782544241932,0.1,Salt,False
0.1270172666183684,0.20031274919641484,0.779223738698,0.1,Salt,False
0.12354888101428914,0.15294152204339045,0.897940373124,0.1,Salt,False
0.12039393065934997,0.19341466257599785,0.776065010389,0.1,Salt,False
0.11802810435084753,0.15468782829638306,0.873417169951,0.1,Salt,False
0.11616912055763141,0.16818972408795554,0.828102301697,0.1,Salt,False
0.11385181932629745,0.15024699357062554,0.872341932017,0.1,Salt,False
0.11650364239551704,0.14637231091723218,0.893837828188,0.1,Salt,False
0.11505252143483287,0.1532005784955438,0.867571341419,0.1,Salt,False
0.11295217902653526,0.14908738849174452,0.872721351186,0.1,Salt,False
0.11077181440766912,0.14832615085646228,0.867316512264,0.1,Salt,False
0.11436342199212561,0.16148806781735614,0.840871561726,0.1,Salt,False
0.11787989063211349,0.1520338996371588,0.880997805045,0.1,Salt,False
0.12075239960891522,0.161561152696129,0.862280153969,0.1,Salt,False
0.12003931446302628,0.1752852570570107,0.82141188083,0.1,Salt,False
0.12359968426187981,0.2075663757316714,0.752044112576,0.1,Salt,False
